x=[3.00000001, 4.572111577817956, 3.0] | Mass=0.0243 | Stress=1644101.1183
x=[3.0, 4.572111587817956, 3.0] | Mass=0.0243 | Stress=1640349.2293
x=[3.0, 4.572111577817956, 3.00000001] | Mass=0.0243 | Stress=1643618.9568
x=[3.0, 4.5437199830145465, 3.0] | Mass=0.0243 | Stress=1660880.2195
x=[3.00000001, 4.5437199830145465, 3.0] | Mass=0.0243 | Stress=1662246.2128
x=[3.0, 4.543719993014546, 3.0] | Mass=0.0243 | Stress=1661039.2493
x=[3.0, 4.5437199830145465, 3.00000001] | Mass=0.0243 | Stress=1662500.1501
x=[3.0, 4.4301536038009095, 3.0] | Mass=0.0241 | Stress=1744914.1245
x=[3.00000001, 4.4301536038009095, 3.0] | Mass=0.0241 | Stress=1743672.3671
x=[3.0, 4.430153613800909, 3.0] | Mass=0.0241 | Stress=1743863.6014
x=[3.0, 4.4301536038009095, 3.00000001] | Mass=0.0241 | Stress=1747441.9229
x=[3.0, 3.9758880869463615, 3.0] | Mass=0.0233 | Stress=2105736.0631
x=[3.00000001, 3.9758880869463615, 3.0] | Mass=0.0233 | Stress=2107626.3909
x=[3.0, 3.9758880969463615, 3.0] | Mass=0.0233 | Stress=2105296.0085
x=[3.0, 3.9758880869463615, 3.00000001] | Mass=0.0233 | Stress=2105365.5090
x=[3.0, 3.0, 3.0] | Mass=0.0215 | Stress=3326512.9869
x=[3.00000001, 3.0, 3.0] | Mass=0.0215 | Stress=3329045.9841
x=[3.0, 3.00000001, 3.0] | Mass=0.0215 | Stress=3326512.9764
x=[3.0, 3.0, 3.00000001] | Mass=0.0215 | Stress=3326782.2432
